Название;Цена;Описание;Категория;Магазин;Подкатегория
Картошка Фри;143;;Продукты;Bren Burger;Фастфуд
Картошка по-деревенски;154;;Продукты;Bren Burger;Фастфуд
Наггетсы 6 шт;176;;Продукты;Bren Burger;Фастфуд
Наггетсы 9 шт;231;;Продукты;Bren Burger;Фастфуд
Наггетсы 20 шт;473;;Продукты;Bren Burger;Фастфуд
Крылышки Острые 6 шт;363;;Продукты;Bren Burger;Фастфуд
Крылышки Острые 9 шт;429;;Продукты;Bren Burger;Фастфуд
Крылышки Острые 18 шт;770;;Продукты;Bren Burger;Фастфуд
Крылышки Гриль 6 шт;308;;Продукты;Bren Burger;Фастфуд
Крылышки Гриль 9 шт;418;;Продукты;Bren Burger;Фастфуд
Крылышки Гриль 18 шт;715;;Продукты;Bren Burger;Фастфуд
Стрипсы 6 шт;330;;Продукты;Bren Burger;Фастфуд
Стрипсы 9 шт;440;;Продукты;Bren Burger;Фастфуд
Попкорн;220;;Продукты;Bren Burger;Фастфуд
Сырные Палочки 6 шт;220;;Продукты;Bren Burger;Фастфуд
Сырные Палочки 9 шт;341;;Продукты;Bren Burger;Фастфуд
Сырные Шарики;143;;Продукты;Bren Burger;Фастфуд
Луковые Кольца 6 шт;165;;Продукты;Bren Burger;Фастфуд
Шаурма;220;;Продукты;Bren Burger;Фастфуд
Шаурма в Кляре;275;;Продукты;Bren Burger;Фастфуд
Шаурма Арабская;385;;Продукты;Bren Burger;Фастфуд
Шаурма Мексиканская;220;;Продукты;Bren Burger;Фастфуд
Донар;198;;Продукты;Bren Burger;Фастфуд
Роллер;198;;Продукты;Bren Burger;Фастфуд
Биф Ролл Барбекю;308;;Продукты;Bren Burger;Фастфуд
Биф Ролл Шашлычный;308;;Продукты;Bren Burger;Фастфуд
Хотдог;132;;Продукты;Bren Burger;Фастфуд
Хотдог Французский;132;;Продукты;Bren Burger;Фастфуд
Чипдог;100;;Продукты;Bren Burger;Фастфуд
Гиро;220;;Продукты;Bren Burger;Фастфуд
Гиро на Тарелке;385;;Продукты;Bren Burger;Фастфуд
Гурман;330;;Продукты;Bren Burger;Фастфуд
Найсмит;275;;Продукты;Bren Burger;Фастфуд
Сэндвич Клаб;330;;Продукты;Bren Burger;Фастфуд
Комбо Люкс;330;;Продукты;Bren Burger;Фастфуд
Комбо Куриный;385;;Продукты;Bren Burger;Фастфуд
Комбо Премиум;385;;Продукты;Bren Burger;Фастфуд
Комбо для Школьников;220;;Продукты;Bren Burger;Фастфуд
Филе с Картошкой Маленькая;352;;Продукты;Bren Burger;Фастфуд
Филе с Картошкой Большая;440;;Продукты;Bren Burger;Фастфуд
